source,model,domain,difficulty,count,em,bleu,rouge1,rouge2,rougeL,rougeLsum,gpt4_score
rougeEM,Qwen3-14B,amazon,m,39,0.3076923076923077,0.1714259807281687,0.3652859960552268,0.26053433745741433,0.3666666666666667,0.3591715976331361,0.4358974358974359
rougeEM,Qwen3-14B,amazon,ood,40,0.0,0.0,0.05170611308769203,0.003333333333333333,0.04410987013605813,0.04412092661392774,0.05
rougeEM,Qwen3-14B,amazon,overall,200,0.37,0.0039953893156880515,0.4042031638345566,0.13263711918380594,0.399069659328617,0.40303347003381496,0.425
rougeEM,Qwen3-14B,biomedical,e,100,0.73,0.6477080986179854,0.7877333333333334,0.43344789628180036,0.7776444444444444,0.7792396825396826,0.74
rougeEM,Qwen3-14B,biomedical,h,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rougeEM,Qwen3-14B,biomedical,m,150,0.17333333333333334,0.04567924519442016,0.18063492063492062,0.1,0.18,0.18,0.16666666666666666
rougeEM,Qwen3-14B,biomedical,ood,0,,,,,,,
rougeEM,Qwen3-14B,biomedical,overall,270,0.36666666666666664,0.467031488561179,0.39155555555555555,0.21638994456892016,0.38816666666666666,0.38949235743680183,0.36666666666666664
rougeEM,Qwen3-14B,dblp,e,70,0.7428571428571429,0.5729025674475148,0.8122448979591838,0.40142857142857147,0.8,0.8027210884353742,0.7857142857142857
rougeEM,Qwen3-14B,dblp,h,60,0.18333333333333332,0.19915343344699288,0.19285714285714287,0.1358974358974359,0.19144491129785246,0.18961951447245565,0.3170731707317073
rougeEM,Qwen3-14B,dblp,m,20,0.5,0.6470555359037795,0.5,0.35,0.5,0.5,0.20512820512820512
rougeEM,Qwen3-14B,dblp,ood,0,,,,,,,
rougeEM,Qwen3-14B,dblp,overall,150,0.4866666666666667,0.41873624350955374,0.5230667600373483,0.2916666666666667,0.5135270774976657,0.5160098039215686,0.5066666666666667
rougeEM,Qwen3-14B,goodreads,e,129,0.5891472868217055,0.8040268914419,0.6596509975325324,0.2635443583118002,0.6599417616343817,0.6599417616343817,0.7209302325581395
rougeEM,Qwen3-14B,goodreads,h,70,0.14285714285714285,0.0,0.14869984905007946,0.0017673048600883653,0.14826870415810506,0.1475026765349346,0.15714285714285714
rougeEM,Qwen3-14B,goodreads,m,30,0.5333333333333333,0.49355089130739604,0.611111111111111,0.13333333333333333,0.6133333333333333,0.6155555555555556,0.7666666666666667
rougeEM,Qwen3-14B,goodreads,ood,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rougeEM,Qwen3-14B,goodreads,overall,240,0.42916666666666664,0.3004450281771611,0.4796946699838704,0.1591754340381619,0.4803251153976043,0.47741751370593266,0.5333333333333333
rougeEM,Qwen3-14B,legal,e,94,0.3723404255319149,0.3960034584217151,0.420343969665132,0.31262767326597113,0.4200198581898533,0.4182664587110362,0.40425531914893614
rougeEM,Qwen3-14B,legal,h,30,0.06666666666666667,0.0,0.10222222222222221,0.06666666666666667,0.10666666666666666,0.10444444444444444,0.1
rougeEM,Qwen3-14B,legal,m,34,0.29411764705882354,0.28807179789069365,0.38875160720025714,0.27610027061672127,0.3816555310648849,0.3785014005602241,0.4411764705882353
rougeEM,Qwen3-14B,legal,ood,20,0.05,0.027379117845401636,0.11633403361344537,0.03333333333333333,0.11647058823529412,0.11709033613445377,0.35
rougeEM,Qwen3-14B,legal,overall,180,0.2722222222222222,0.39074229486543827,0.328628837188384,0.23429246587604843,0.326580973283636,0.3296444005262207,0.35555555555555557
rougeEM,Qwen3-14B,maple-Biology,e,60,0.7,0.11884216208728163,0.75,0.303425925925926,0.74017649017649,0.74264652014652,0.78
rougeEM,Qwen3-14B,maple-Biology,h,50,0.3,0.6889441249300807,0.3025914315569488,0.26,0.30137931034482757,0.3025914315569488,0.3958333333333333
rougeEM,Qwen3-14B,maple-Biology,m,20,0.25,0.32535409273798266,0.25,0.1,0.25,0.25,0.25
rougeEM,Qwen3-14B,maple-Biology,ood,10,0.5,0.4763322389328813,0.5,0.5,0.5,0.5,0.5
rougeEM,Qwen3-14B,maple-Biology,overall,140,0.4785714285714286,0.3589251910712757,0.5030260380014075,0.27452380952380956,0.4970442734605296,0.49756113754882225,0.5071428571428571
rougeEM,Qwen3-14B,maple-Chemistry,e,60,0.7333333333333333,0.7778577521244094,0.871904761904762,0.37333333333333335,0.8370238095238094,0.8376984126984126,0.88
rougeEM,Qwen3-14B,maple-Chemistry,h,50,0.34,0.5543891014384466,0.3533333333333333,0.26,0.35333333333333333,0.3533333333333333,0.4186046511627907
rougeEM,Qwen3-14B,maple-Chemistry,m,20,0.55,0.4493289641172217,0.55,0.25,0.55,0.55,0.5675675675675675
rougeEM,Qwen3-14B,maple-Chemistry,ood,10,0.5,0.5999963018400503,0.6238095238095238,0.605,0.6238095238095238,0.6238095238095238,0.6
rougeEM,Qwen3-14B,maple-Chemistry,overall,140,0.55,0.6548176593911579,0.6199319727891156,0.3308333333333333,0.6086564625850339,0.6060544217687076,0.6357142857142857
rougeEM,Qwen3-14B,maple-Materials_Science,e,60,0.8,0.4142191624431754,0.8666666666666667,0.36238095238095247,0.8402777777777779,0.8416666666666667,0.78
rougeEM,Qwen3-14B,maple-Materials_Science,h,50,0.2,0.26070177474643874,0.20857142857142855,0.1,0.2114285714285714,0.2140952380952381,0.3333333333333333
rougeEM,Qwen3-14B,maple-Materials_Science,m,20,0.4,0.49214612400184726,0.4,0.2,0.4,0.4,0.45714285714285713
rougeEM,Qwen3-14B,maple-Materials_Science,ood,10,0.0,0.00755873943202245,0.1,0.1,0.1,0.1,0.1
rougeEM,Qwen3-14B,maple-Materials_Science,overall,140,0.4714285714285714,0.2964286912896571,0.5086394557823128,0.22857142857142856,0.49892006802721084,0.5021598639455782,0.5071428571428571
rougeEM,Qwen3-14B,maple-Medicine,e,60,0.6833333333333333,0.2306163517265738,0.8166666666666667,0.2407432844932845,0.773916847041847,0.7744277597402598,0.72
rougeEM,Qwen3-14B,maple-Medicine,h,50,0.24,0.25148150991150975,0.2616935178111649,0.17215419501133788,0.2561265749501044,0.2619232096879156,0.34782608695652173
rougeEM,Qwen3-14B,maple-Medicine,m,20,0.2,0.15774051241280587,0.2,0.15,0.2,0.2,0.38235294117647056
rougeEM,Qwen3-14B,maple-Medicine,ood,10,0.6,0.8380173843016079,0.78,0.7684210526315789,0.78,0.78,0.7
rougeEM,Qwen3-14B,maple-Medicine,overall,140,0.45,0.3837716228777561,0.5295022764350495,0.23903407950803224,0.5100176896710511,0.508371911021596,0.5142857142857142
rougeEM,Qwen3-14B,maple-Physics,e,60,0.6833333333333333,0.09217798996859163,0.7148148148148148,0.34095238095238095,0.7092592592592593,0.7092592592592593,0.72
rougeEM,Qwen3-14B,maple-Physics,h,50,0.16,0.2223492474798761,0.16,0.12,0.16,0.16,0.3404255319148936
rougeEM,Qwen3-14B,maple-Physics,m,20,0.4,0.3568110821138045,0.4,0.2,0.4,0.4,0.21212121212121213
rougeEM,Qwen3-14B,maple-Physics,ood,10,0.3,0.20982016383599766,0.31666666666666665,0.30588235294117644,0.3111111111111111,0.3111111111111111,0.3
rougeEM,Qwen3-14B,maple-Physics,overall,140,0.42857142857142855,0.17542070597108111,0.44325396825396823,0.23960984393757506,0.4396825396825397,0.44206349206349205,0.44285714285714284
rougeEM,Qwen3-8B,amazon,e,80,0.8625,0.9665651075487128,0.875,0.225,0.875,0.875,
rougeEM,Qwen3-8B,amazon,h,40,0.075,0.000271771890379882,0.08067150635208711,0.025,0.08145786574168537,0.08145786574168537,
rougeEM,Qwen3-8B,amazon,m,39,0.3333333333333333,0.18738339816631266,0.3925456079867845,0.2708016342631727,0.38412159735689144,0.39060786707845535,
rougeEM,Qwen3-8B,amazon,ood,40,0.0,0.0,0.05718394824883656,0.017914377289377288,0.044135477884647445,0.04605275109488838,
rougeEM,Qwen3-8B,amazon,overall,200,0.43,0.03242540264314337,0.4577709762572,0.15272158841657343,0.4567095329957599,0.4585784833582051,
rougeEM,Qwen3-8B,biomedical,e,100,0.78,0.7842199051688132,0.79,0.4361538461538461,0.7879999999999999,0.7879999999999999,
rougeEM,Qwen3-8B,biomedical,h,20,0.0,0.0,0.0,0.0,0.0,0.0,
rougeEM,Qwen3-8B,biomedical,m,150,0.08,0.02967481182390664,0.08814814814814814,0.05111111111111111,0.08907407407407407,0.09014814814814814,
rougeEM,Qwen3-8B,biomedical,ood,0,,,,,,,
rougeEM,Qwen3-8B,biomedical,overall,270,0.3333333333333333,0.5908612014544999,0.3395679012345679,0.18888888888888888,0.34148148148148144,0.3389300411522634,
rougeEM,Qwen3-8B,dblp,e,70,0.7571428571428571,0.6735436843407355,0.8257142857142856,0.43724751439037157,0.8051731601731602,0.8054112554112554,
rougeEM,Qwen3-8B,dblp,h,60,0.16666666666666666,0.25612874512037714,0.18119429590017824,0.10833333333333334,0.17825311942959002,0.17727272727272728,
rougeEM,Qwen3-8B,dblp,m,20,0.4,0.6279635676275405,0.4,0.35,0.4,0.4,
rougeEM,Qwen3-8B,dblp,ood,0,,,,,,,
rougeEM,Qwen3-8B,dblp,overall,150,0.47333333333333333,0.5020239837688507,0.5097540106951872,0.29527106227106226,0.5011414141414141,0.4992893642305407,
rougeEM,Qwen3-8B,goodreads,e,129,0.6511627906976745,0.7665303289154191,0.6955681017429214,0.28257266149556404,0.6977751667845102,0.6931247121704218,
rougeEM,Qwen3-8B,goodreads,h,70,0.14285714285714285,0.0,0.1471535982814178,0.0010452961672473868,0.14624060150375942,0.14602577873254569,
rougeEM,Qwen3-8B,goodreads,m,30,0.6333333333333333,0.6532503321548232,0.6333333333333333,0.13333333333333333,0.6333333333333333,0.6333333333333333,
rougeEM,Qwen3-8B,goodreads,ood,6,0.0,0.0,0.0,0.0,0.0,0.0,
rougeEM,Qwen3-8B,goodreads,overall,240,0.475,0.3040974062772756,0.5019272749790467,0.16822543196714276,0.5005250602431204,0.5021601499254446,
rougeEM,Qwen3-8B,legal,e,94,0.6914893617021277,0.7423398557209545,0.743598422853742,0.47661331544310265,0.7436467787531617,0.742202884724787,
rougeEM,Qwen3-8B,legal,h,30,0.06666666666666667,0.0,0.17777777777777776,0.1,0.1566666666666667,0.15666666666666668,
rougeEM,Qwen3-8B,legal,m,34,0.35294117647058826,0.07420506246827432,0.4070537305831423,0.3764705882352941,0.4038511508499504,0.41193620305264966,
rougeEM,Qwen3-8B,legal,ood,20,0.15,0.0,0.22826923076923075,0.0,0.22042307692307694,0.22083333333333333,
rougeEM,Qwen3-8B,legal,overall,180,0.45555555555555555,0.3994155273886903,0.5216786078844902,0.3383842175508842,0.5172823052186798,0.5172492418767929,
rougeEM,Qwen3-8B,maple-Biology,e,60,0.7333333333333333,0.22014968449858313,0.8376068376068375,0.34952020202020206,0.8119871794871795,0.813931623931624,
rougeEM,Qwen3-8B,maple-Biology,h,50,0.2,0.4108988658000677,0.2013793103448276,0.16,0.2013793103448276,0.2013793103448276,
rougeEM,Qwen3-8B,maple-Biology,m,20,0.3,0.3299476364256821,0.3,0.25,0.3,0.3,
rougeEM,Qwen3-8B,maple-Biology,ood,10,0.9,0.949707200915058,0.9,0.9,0.9,0.9,
rougeEM,Qwen3-8B,maple-Biology,overall,140,0.4928571428571429,0.40814904755760106,0.5373525325249463,0.30305555555555563,0.5288644688644688,0.5264550966275104,
rougeEM,Qwen3-8B,maple-Chemistry,e,60,0.7833333333333333,0.7307291672853313,0.85,0.37497474747474746,0.8225744179192456,0.8199069512862617,
rougeEM,Qwen3-8B,maple-Chemistry,h,50,0.34,0.6131195832669902,0.34,0.26,0.34,0.34,
rougeEM,Qwen3-8B,maple-Chemistry,m,20,0.35,0.35694789235882374,0.35,0.2,0.35,0.35,
rougeEM,Qwen3-8B,maple-Chemistry,ood,10,0.7,0.7573211591067044,0.8,0.8,0.8,0.8,
rougeEM,Qwen3-8B,maple-Chemistry,overall,140,0.5571428571428572,0.7028151709028432,0.5925729442970822,0.33738095238095234,0.5802668759811617,0.5816171349176276,
rougeEM,Qwen3-8B,maple-Materials_Science,e,60,0.7833333333333333,0.4029882639861866,0.85,0.3627380952380952,0.8280555555555555,0.8277777777777777,
rougeEM,Qwen3-8B,maple-Materials_Science,h,50,0.24,0.26517610139299314,0.24258064516129033,0.18,0.2428287841191067,0.24153846153846154,
rougeEM,Qwen3-8B,maple-Materials_Science,m,20,0.4,0.4464858248292958,0.4,0.3,0.4,0.4,
rougeEM,Qwen3-8B,maple-Materials_Science,ood,10,0.4,0.4038058424617435,0.5,0.5,0.5,0.5,
rougeEM,Qwen3-8B,maple-Materials_Science,overall,140,0.5071428571428571,0.4250042898814154,0.543778801843318,0.2980867346938776,0.528435542951672,0.5349084249084249,
rougeEM,Qwen3-8B,maple-Medicine,e,60,0.6,0.22046955714153763,0.6833333333333333,0.22384711779448624,0.6549783549783549,0.6528138528138527,
rougeEM,Qwen3-8B,maple-Medicine,h,50,0.22,0.29424244075244876,0.22783182503770738,0.14,0.22896681749622924,0.22813348416289592,
rougeEM,Qwen3-8B,maple-Medicine,m,20,0.45,0.5832528993519939,0.45,0.3,0.45,0.45,
rougeEM,Qwen3-8B,maple-Medicine,ood,10,0.7,0.6760522781064381,0.825,0.7828054298642535,0.8158730158730159,0.8158730158730159,
rougeEM,Qwen3-8B,maple-Medicine,overall,140,0.45,0.35968810047848976,0.49401972327392485,0.2448291572268005,0.4843929121765257,0.4848284488620623,
rougeEM,Qwen3-8B,maple-Physics,e,60,0.7833333333333333,0.1586790375865405,0.8333333333333334,0.42000000000000004,0.8176190476190477,0.8166666666666667,
rougeEM,Qwen3-8B,maple-Physics,h,50,0.14,0.2994997552677444,0.14,0.12,0.14,0.14,
rougeEM,Qwen3-8B,maple-Physics,m,20,0.45,0.6187935268275724,0.45,0.35,0.45,0.45,
rougeEM,Qwen3-8B,maple-Physics,ood,10,0.3,0.28878482308447134,0.3068965517241379,0.3,0.3068965517241379,0.3068965517241379,
rougeEM,Qwen3-8B,maple-Physics,overall,140,0.4714285714285714,0.25670097372140643,0.49384236453201974,0.29000000000000004,0.48516889514426464,0.4861306591602158,
rougeEM,gpt-4o-mini,amazon,e,80,0.0,0.7462510924740694,0.8756250000000001,0.190625,0.875,0.87375,0.875
rougeEM,gpt-4o-mini,amazon,h,40,0.0,9.729783986068962e-09,0.1027489259106906,0.05497184646351869,0.09324237853649618,0.09270761917820741,0.075
rougeEM,gpt-4o-mini,amazon,m,39,0.0,0.18104617250873273,0.5474358974358975,0.38461538461538464,0.5448717948717948,0.5461538461538461,0.5384615384615384
rougeEM,gpt-4o-mini,amazon,ood,40,0.0,0.0,0.025305676610024433,0.004380952380952381,0.02049618183332576,0.020071828887421095,0.0
rougeEM,gpt-4o-mini,amazon,overall,200,0.0,0.002521031536714236,0.48950532306176553,0.16622189772357518,0.4834499192597129,0.4851058499385072,0.475
rougeEM,gpt-4o-mini,biomedical,e,100,0.0,0.8764584357638999,0.9568181818181819,0.5833333333333333,0.954935064935065,0.95625,0.88
rougeEM,gpt-4o-mini,biomedical,h,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rougeEM,gpt-4o-mini,biomedical,m,150,0.0,0.0,0.2170238095238095,0.10111111111111111,0.2208882783882784,0.22153846153846152,0.22
rougeEM,gpt-4o-mini,biomedical,ood,0,,,,,,,
rougeEM,gpt-4o-mini,biomedical,overall,270,0.0,0.6182443320630743,0.47828768453768455,0.2722222222222222,0.4787948162948163,0.47489316239316237,0.44814814814814813
rougeEM,gpt-4o-mini,dblp,e,70,0.42857142857142855,0.3749926688139643,0.5274725274725274,0.4674319727891157,0.5084249084249084,0.5042124542124542,
rougeEM,gpt-4o-mini,dblp,h,60,0.05,0.06154049250916257,0.0830718954248366,0.06666666666666667,0.08259678230266465,0.08367521367521367,
rougeEM,gpt-4o-mini,dblp,m,20,0.35,0.5068844919910866,0.45,0.45,0.45,0.45,
rougeEM,gpt-4o-mini,dblp,ood,0,,,,,,,
rougeEM,gpt-4o-mini,dblp,overall,150,0.26666666666666666,0.35125083756897374,0.3397348751466398,0.3081868131868132,0.3287747611865258,0.3297511312217195,
rougeEM,gpt-4o-mini,goodreads,e,40,0.0,0.0,0.85,0.0,0.85,0.85,0.813953488372093
rougeEM,gpt-4o-mini,goodreads,h,63,0.0,4.175296254792957e-07,0.14517090786932058,0.017316017316017316,0.1478164105148232,0.14758125472411188,0.14285714285714285
rougeEM,gpt-4o-mini,goodreads,m,30,0.0,0.565308928617605,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.7666666666666667
rougeEM,gpt-4o-mini,goodreads,ood,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rougeEM,gpt-4o-mini,goodreads,overall,143,0.0,0.0014127378179527796,0.4414751914751915,0.03560076287349014,0.44210881710881705,0.4419330669330669,0.5791666666666667
rougeEM,gpt-4o-mini,legal,e,94,0.0,0.5695389057483287,0.7060957911936694,0.425302379598968,0.7074698370531739,0.7104421562778146,0.7127659574468085
rougeEM,gpt-4o-mini,legal,h,30,0.0,0.0,0.09166666666666667,0.03333333333333333,0.09333333333333332,0.09000000000000001,0.03333333333333333
rougeEM,gpt-4o-mini,legal,m,34,0.0,0.03822213521619036,0.24805247361016663,0.20168067226890754,0.2515528258468697,0.25157772689914293,0.3235294117647059
rougeEM,gpt-4o-mini,legal,ood,20,0.0,0.0,0.1377124183006536,0.0,0.1277124183006536,0.1276377217553688,0.4
rougeEM,gpt-4o-mini,legal,overall,180,0.0,0.24328707874694866,0.44697414432647997,0.26727361252504933,0.4496799929420688,0.44865864216695467,0.4888888888888889
rougeEM,gpt-4o-mini,maple-Biology,e,60,0.0,0.20133937828778983,0.7696209587513935,0.3659054311228225,0.7505297287253809,0.7431406540319585,0.7833333333333333
rougeEM,gpt-4o-mini,maple-Biology,h,50,0.0,0.16073876720606683,0.3416129032258064,0.24,0.3416129032258064,0.34,0.36
rougeEM,gpt-4o-mini,maple-Biology,m,20,0.0,0.7743077397563525,0.5,0.4,0.5,0.5,0.5
rougeEM,gpt-4o-mini,maple-Biology,ood,10,0.0,0.63126597647405,0.6647407407407407,0.6125,0.6573333333333333,0.6647407407407407,0.6
