umap_x,umap_y,domain,level
0.34884602,6.2898335,amazon,easy
0.3763697,6.380558,amazon,easy
0.48826995,6.384956,amazon,easy
0.5805682,6.4831524,amazon,easy
0.4494626,6.353461,amazon,easy
0.27735847,6.3075566,amazon,easy
0.1516469,6.4142323,amazon,easy
0.21024516,6.302067,amazon,easy
0.21104921,6.383034,amazon,easy
0.3838676,6.2796593,amazon,easy
0.69924223,6.0576816,amazon,easy
0.7531025,6.0136747,amazon,easy
0.8371076,6.0597506,amazon,easy
0.782326,5.9818234,amazon,easy
0.571306,6.045737,amazon,easy
0.73725474,5.9849834,amazon,easy
0.88137156,6.050193,amazon,easy
0.84145176,5.984996,amazon,easy
0.58534133,6.159413,amazon,easy
0.5043446,6.0718274,amazon,easy
1.6546304,5.811751,amazon,medium
1.6166168,6.028916,amazon,medium
1.5980242,5.7657986,amazon,medium
1.5105708,5.4938493,amazon,medium
1.4154439,5.450545,amazon,medium
1.5555172,6.134834,amazon,medium
1.6830536,5.9568744,amazon,medium
1.5731711,5.834561,amazon,medium
1.4798214,6.3355193,amazon,medium
1.5576448,6.3075104,amazon,medium
0.97419536,6.3254776,amazon,medium
1.4225273,6.2270956,amazon,medium
1.3007023,6.383061,amazon,medium
1.2753918,6.1537857,amazon,medium
0.9127789,6.5630655,amazon,medium
1.2813169,6.4719424,amazon,medium
1.2482349,6.1101446,amazon,medium
0.88859564,6.448966,amazon,medium
1.2439132,6.1553054,amazon,medium
0.8742959,6.5208893,amazon,medium
1.5194231,5.9398074,amazon,medium
1.5175134,6.1164603,amazon,medium
1.7691376,5.9142685,amazon,medium
1.6193289,5.951662,amazon,medium
1.6490152,5.963799,amazon,medium
1.466945,5.7951484,amazon,medium
1.6919655,6.0060954,amazon,medium
1.590555,5.8261337,amazon,medium
1.4965507,5.895524,amazon,medium
1.3717157,6.34163,amazon,medium
0.3663143,6.230304,amazon,medium
0.4780691,6.1955233,amazon,medium
0.3150414,6.218922,amazon,medium
0.53642756,6.2217712,amazon,medium
0.62354165,6.210837,amazon,medium
0.23688819,6.2722526,amazon,medium
0.34412444,6.1121063,amazon,medium
0.5133072,6.1557307,amazon,medium
0.48240423,6.201338,amazon,medium
0.26026535,6.17491,amazon,medium
0.05760392,5.3684025,amazon,medium
-0.05197401,5.4547997,amazon,medium
-0.02942128,5.391502,amazon,medium
-0.023126611,5.4832773,amazon,medium
0.0069481526,5.512566,amazon,medium
-0.006045541,5.548093,amazon,medium
-0.051055074,5.449503,amazon,medium
-0.0060423133,5.402089,amazon,medium
0.17747922,5.7507234,amazon,medium
-0.07529223,5.456313,amazon,medium
-0.08653848,5.455881,amazon,medium
0.028370736,5.5702586,amazon,medium
-0.0957517,5.454845,amazon,medium
-0.06188864,5.5321627,amazon,medium
-0.06990074,5.436311,amazon,medium
-0.118492424,5.4104843,amazon,medium
0.0031029999,5.580445,amazon,medium
-0.07830454,5.4873314,amazon,medium
-0.118330665,5.465916,amazon,medium
-0.14108825,5.3916864,amazon,medium
1.7091908,6.310011,amazon,medium
1.671,6.032444,amazon,medium
1.6400009,5.887697,amazon,medium
1.5478212,6.275278,amazon,medium
1.7684435,5.9388046,amazon,medium
1.3116478,6.033445,amazon,medium
1.6892084,6.049395,amazon,medium
1.8160812,6.376302,amazon,medium
1.4390275,6.3293247,amazon,medium
1.6091342,5.8266335,amazon,medium
1.5987748,6.1532187,amazon,medium
1.4427472,6.408335,amazon,medium
1.533924,6.621873,amazon,medium
1.4598837,5.7801113,amazon,medium
1.3172865,6.384471,amazon,medium
1.5290586,6.3881006,amazon,medium
1.5984921,6.7259407,amazon,medium
1.5456029,6.658444,amazon,medium
1.3308866,6.49243,amazon,medium
1.4104292,6.4943004,amazon,medium
2.4232533,6.510912,amazon,hard
1.9534653,6.273387,amazon,hard
2.132735,6.339791,amazon,hard
2.4552777,6.497043,amazon,hard
2.1523,6.401793,amazon,hard
2.6867745,6.5866847,amazon,hard
2.1981828,6.3896627,amazon,hard
2.3035557,6.4444366,amazon,hard
2.3790925,6.46607,amazon,hard
2.1474571,6.3305964,amazon,hard
1.3298516,5.9165063,amazon,hard
1.1616116,5.6942625,amazon,hard
1.3983233,5.748119,amazon,hard
1.3384582,5.7492476,amazon,hard
1.4462981,5.711075,amazon,hard
1.0824395,5.8954678,amazon,hard
1.2753657,6.000524,amazon,hard
1.1570557,6.073902,amazon,hard
1.2182236,5.498708,amazon,hard
0.8615092,5.9517174,amazon,hard
1.472934,6.2378483,amazon,hard
1.3702205,5.9865966,amazon,hard
1.3827786,5.8804584,amazon,hard
1.0845492,5.962189,amazon,hard
1.8353993,5.906221,amazon,hard
1.5575752,5.66255,amazon,hard
1.1599958,5.839915,amazon,hard
1.1131063,5.8525724,amazon,hard
1.2255807,6.029268,amazon,hard
1.5972452,6.2695327,amazon,hard
1.1010605,5.761952,amazon,hard
1.3342261,5.502714,amazon,hard
1.3230095,5.844973,amazon,hard
1.4099644,5.6335797,amazon,hard
1.5891054,5.668984,amazon,hard
1.1909356,5.802695,amazon,hard
1.4410458,5.6302176,amazon,hard
1.3989465,5.4369802,amazon,hard
1.2217906,5.7635355,amazon,hard
1.4077911,5.573838,amazon,hard
14.152021,6.276089,biology,easy
13.812437,5.3375216,biology,easy
14.138858,5.364824,biology,easy
14.400865,5.4166355,biology,easy
13.633903,5.3588815,biology,easy
13.677138,5.408503,biology,easy
13.419792,5.3615675,biology,easy
14.022089,6.323914,biology,easy
13.672055,5.1631565,biology,easy
13.85435,5.190362,biology,easy
13.925095,5.5249867,biology,easy
14.60338,5.556677,biology,easy
15.247026,7.057256,biology,easy
14.305954,5.498145,biology,easy
14.450394,5.476747,biology,easy
14.035894,5.403701,biology,easy
14.183783,5.3080473,biology,easy
14.104102,5.4062595,biology,easy
14.055172,5.3059006,biology,easy
13.789263,5.016908,biology,easy
15.499766,6.9459295,biology,medium
14.776563,5.8059406,biology,medium
13.699487,5.320749,biology,medium
13.689343,5.969586,biology,medium
14.505704,7.788392,biology,medium
13.98659,5.275029,biology,medium
13.569239,5.891762,biology,medium
13.663944,5.169418,biology,medium
13.813549,5.2915244,biology,medium
13.717347,5.2408752,biology,medium
13.609367,5.9066825,biology,medium
13.861645,5.3271675,biology,medium
13.9625,5.3284683,biology,medium
14.184782,5.7465057,biology,medium
13.521671,5.2334085,biology,medium
13.512316,5.203697,biology,medium
13.9952345,5.8105717,biology,medium
13.814167,6.0917873,biology,medium
13.804064,5.258321,biology,medium
13.698407,5.51685,biology,medium
12.207804,11.543073,biology,medium
12.999969,12.256592,biology,medium
12.191033,11.589335,biology,medium
12.625128,11.404449,biology,medium
12.33513,11.356344,biology,medium
12.868141,11.484201,biology,medium
12.342471,10.765406,biology,medium
12.33925,11.270877,biology,medium
12.82695,12.233516,biology,medium
12.518267,11.293138,biology,medium
13.124751,11.130037,biology,medium
13.334398,11.573202,biology,medium
12.746492,10.934844,biology,medium
12.598478,10.879071,biology,medium
12.971568,11.331814,biology,medium
12.869882,11.11718,biology,medium
12.128289,11.357134,biology,medium
13.183604,11.072961,biology,medium
12.73651,11.044935,biology,medium
12.808722,11.069767,biology,medium
11.988923,9.316879,biology,medium
12.21728,11.013495,biology,medium
12.058608,8.904545,biology,medium
12.143293,9.304946,biology,medium
12.1940155,9.240634,biology,medium
12.597641,9.113788,biology,medium
12.140906,9.210043,biology,medium
12.187105,9.405747,biology,medium
12.15908,10.101534,biology,medium
11.90469,9.867936,biology,medium
13.497204,5.3397317,biology,easy
13.543114,5.15702,biology,easy
13.739714,5.4180026,biology,easy
13.931937,5.1334953,biology,easy
13.879321,5.183386,biology,easy
13.38038,5.3171496,biology,easy
13.591816,5.2786126,biology,easy
13.746653,5.239433,biology,easy
13.803051,5.241277,biology,easy
13.450495,5.3667626,biology,easy
13.798681,5.2846,biology,easy
13.643395,5.4316797,biology,easy
13.662976,5.2416177,biology,easy
14.202296,6.5638733,biology,easy
13.421877,5.0928016,biology,easy
14.124691,6.843071,biology,easy
13.931729,5.661665,biology,easy
13.678517,5.4165015,biology,easy
14.325241,6.1871357,biology,easy
14.171552,5.9355993,biology,easy
13.915356,8.85513,biology,easy
14.044521,8.676764,biology,easy
14.10923,8.693692,biology,easy
14.037819,8.75036,biology,easy
13.862015,8.902787,biology,easy
14.090655,8.640488,biology,easy
14.012749,8.518717,biology,easy
14.082414,8.681142,biology,easy
8.620213,10.326883,biology,easy
14.289294,8.745996,biology,easy
11.633568,8.655797,biology,medium
12.477626,9.054295,biology,medium
11.559587,8.798718,biology,medium
11.794685,8.67633,biology,medium
10.506517,9.103295,biology,medium
11.949213,8.838958,biology,medium
11.841793,8.595229,biology,medium
11.951504,9.017191,biology,medium
11.975378,8.801229,biology,medium
10.553393,9.137657,biology,medium
12.879636,11.702899,biology,medium
12.415486,11.857226,biology,medium
13.381374,11.773865,biology,medium
12.136937,12.144054,biology,medium
13.454855,11.887916,biology,medium
11.964816,11.068121,biology,medium
12.443896,11.805706,biology,medium
12.425701,11.951172,biology,medium
12.207523,11.969087,biology,medium
12.25565,12.042234,biology,medium
14.652264,13.330209,biology,medium
14.355785,13.507773,biology,medium
14.380352,13.453985,biology,medium
14.560012,13.410633,biology,medium
14.058011,13.352863,biology,medium
14.685349,13.265381,biology,medium
14.353684,13.548152,biology,medium
14.046323,13.3646965,biology,medium
14.64756,13.336929,biology,medium
14.065748,13.352624,biology,medium
11.421669,-3.8040936,biology,hard
11.164658,-3.9793615,biology,hard
11.390582,-3.8464758,biology,hard
12.641262,-3.5270827,biology,hard
11.482712,-3.774517,biology,hard
11.438025,-3.8227918,biology,hard
11.458267,-3.8186128,biology,hard
11.439732,-3.822427,biology,hard
11.259753,-3.945394,biology,hard
11.46877,-3.7205908,biology,hard
13.626799,5.1677423,chemistry,easy
15.1801,6.526137,chemistry,easy
15.032513,6.5233946,chemistry,easy
13.888867,5.219734,chemistry,easy
13.964811,5.6755958,chemistry,easy
15.496187,6.8813496,chemistry,easy
14.961511,5.904816,chemistry,easy
14.8938875,5.874253,chemistry,easy
14.111807,5.2502923,chemistry,easy
14.858774,5.6883836,chemistry,easy
14.764224,5.678488,chemistry,easy
15.20964,6.2171493,chemistry,easy
14.809338,5.873036,chemistry,easy
14.660882,5.661355,chemistry,easy
14.302317,5.5319543,chemistry,easy
14.41865,5.576478,chemistry,easy
14.699686,5.5462875,chemistry,easy
14.3915,5.413313,chemistry,easy
14.922339,5.7791405,chemistry,easy
14.314452,5.3454957,chemistry,easy
14.390581,5.855441,chemistry,medium
14.983532,6.078907,chemistry,medium
15.4203615,6.9417644,chemistry,medium
14.479195,5.7023563,chemistry,medium
15.063204,6.045735,chemistry,medium
14.7649,5.6153316,chemistry,medium
14.768258,5.5687537,chemistry,medium
15.515125,6.8989644,chemistry,medium
15.227357,6.1741333,chemistry,medium
14.912233,7.119807,chemistry,medium
14.935517,5.9003086,chemistry,medium
13.723438,5.7657127,chemistry,medium
15.355116,6.2869606,chemistry,medium
14.608216,5.8888884,chemistry,medium
14.425608,5.67329,chemistry,medium
15.011429,5.9620824,chemistry,medium
13.949259,5.313293,chemistry,medium
12.510282,8.424543,chemistry,medium
15.308072,6.5018926,chemistry,medium
14.845862,5.593112,chemistry,medium
12.3062315,11.382597,chemistry,medium
12.832748,12.24662,chemistry,medium
12.305782,11.296676,chemistry,medium
12.081322,11.207097,chemistry,medium
12.45927,11.346368,chemistry,medium
12.424102,11.775629,chemistry,medium
12.471289,11.901365,chemistry,medium
12.643679,11.40535,chemistry,medium
12.890983,12.206379,chemistry,medium
12.461947,11.702456,chemistry,medium
13.278211,11.523845,chemistry,medium
13.092029,11.259091,chemistry,medium
13.127104,11.197119,chemistry,medium
13.292295,11.192499,chemistry,medium
12.768193,11.319198,chemistry,medium
13.436829,11.282565,chemistry,medium
12.550787,11.20797,chemistry,medium
13.259015,11.193328,chemistry,medium
12.234281,9.539887,chemistry,medium
13.174056,11.451051,chemistry,medium
12.163038,8.862422,chemistry,medium
11.886039,9.09394,chemistry,medium
12.1165695,9.445361,chemistry,medium
12.338055,9.146613,chemistry,medium
12.258801,9.194722,chemistry,medium
12.215254,8.987963,chemistry,medium
11.960141,9.370206,chemistry,medium
12.679969,9.122931,chemistry,medium
12.393437,8.972748,chemistry,medium
12.0289345,9.317641,chemistry,medium
14.212116,6.127773,chemistry,easy
14.517281,5.607871,chemistry,easy
14.668464,6.056686,chemistry,easy
14.1123495,5.4318843,chemistry,easy
15.011815,6.3962674,chemistry,easy
14.605155,6.669517,chemistry,easy
14.833716,6.2417235,chemistry,easy
14.8645735,6.5454926,chemistry,easy
13.968114,5.629961,chemistry,easy
14.255407,5.8333406,chemistry,easy
14.859519,5.6841145,chemistry,easy
14.5733795,6.2419786,chemistry,easy
14.739678,6.5247045,chemistry,easy
14.58631,6.2748933,chemistry,easy
14.628261,6.1579247,chemistry,easy
13.925741,5.671987,chemistry,easy
14.807987,6.389782,chemistry,easy
14.789201,6.1434646,chemistry,easy
14.715646,6.1813827,chemistry,easy
14.054388,5.49245,chemistry,easy
14.147729,8.691762,chemistry,easy
14.406272,8.765979,chemistry,easy
14.198548,8.742261,chemistry,easy
14.1219845,8.742525,chemistry,easy
13.916271,8.554597,chemistry,easy
14.213956,8.326925,chemistry,easy
14.2151165,8.710693,chemistry,easy
14.375335,8.770798,chemistry,easy
13.926123,8.606062,chemistry,easy
13.990998,8.499633,chemistry,easy
12.014864,8.846812,chemistry,medium
11.88276,8.501788,chemistry,medium
11.789527,8.764031,chemistry,medium
11.887249,9.003206,chemistry,medium
11.512772,8.752718,chemistry,medium
12.554113,9.020348,chemistry,medium
12.169565,8.67428,chemistry,medium
11.843172,8.573649,chemistry,medium
11.95017,9.063304,chemistry,medium
11.4657,8.874297,chemistry,medium
12.140664,12.1613,chemistry,medium
12.174689,12.109796,chemistry,medium
12.2999735,11.920212,chemistry,medium
12.597576,11.820276,chemistry,medium
13.628733,11.772715,chemistry,medium
12.732563,11.740592,chemistry,medium
13.651831,11.81228,chemistry,medium
13.661027,11.775108,chemistry,medium
12.608392,11.871133,chemistry,medium
12.695895,11.622995,chemistry,medium
14.059593,13.3502035,chemistry,medium
14.627204,13.294352,chemistry,medium
14.649001,13.301113,chemistry,medium
14.19506,13.589076,chemistry,medium
14.668886,13.365314,chemistry,medium
14.460948,13.3527775,chemistry,medium
14.715092,13.252563,chemistry,medium
14.150308,13.364194,chemistry,medium
14.440688,13.361392,chemistry,medium
14.072141,13.358291,chemistry,medium
11.619057,-3.42305,chemistry,hard
11.612831,-3.4620714,chemistry,hard
11.626953,-3.419625,chemistry,hard
11.624785,-3.3998141,chemistry,hard
11.619808,-3.422757,chemistry,hard
11.654319,-3.382971,chemistry,hard
11.610307,-3.4827008,chemistry,hard
11.6438465,-3.406385,chemistry,hard
11.619004,-3.4187753,chemistry,hard
11.599389,-3.465732,chemistry,hard
13.290006,5.781026,computer_science,easy
15.17821,7.45123,computer_science,easy
15.214582,7.315159,computer_science,easy
14.619005,7.2734194,computer_science,easy
14.272099,7.647623,computer_science,easy
13.971038,7.9082665,computer_science,easy
14.7168,7.072981,computer_science,easy
14.033025,7.4017186,computer_science,easy
14.449072,7.4453645,computer_science,easy
14.073219,7.4957776,computer_science,easy
13.824108,10.007933,computer_science,easy
13.778205,9.979588,computer_science,easy
13.8386135,10.046819,computer_science,easy
13.840989,10.027854,computer_science,easy
13.853136,10.03557,computer_science,easy
13.844012,10.061315,computer_science,easy
13.857393,9.99798,computer_science,easy
13.841861,9.990119,computer_science,easy
13.87445,10.023684,computer_science,easy
13.912245,9.965878,computer_science,easy
14.517721,7.465018,computer_science,easy
14.564542,7.4744534,computer_science,easy
14.482264,7.9195495,computer_science,easy
15.057132,7.3491497,computer_science,easy
14.272825,7.547354,computer_science,easy
14.859271,7.4476275,computer_science,easy
14.533004,7.5002503,computer_science,easy
14.73581,7.4097548,computer_science,easy
14.42858,7.318733,computer_science,easy
14.633818,7.4074016,computer_science,easy
15.306219,6.7591934,computer_science,medium
15.092394,6.1405654,computer_science,medium
15.416092,7.025768,computer_science,medium
14.694158,5.8360934,computer_science,medium
13.853206,7.93516,computer_science,medium
14.058407,7.673325,computer_science,medium
13.9998,7.7928915,computer_science,medium
13.908877,5.3505397,computer_science,medium
13.703156,8.833189,computer_science,medium
13.4646435,11.097043,computer_science,medium
14.073122,7.9426985,computer_science,medium
14.437143,8.153301,computer_science,medium
14.145892,7.7774324,computer_science,medium
13.982801,7.8451138,computer_science,medium
14.019391,8.094129,computer_science,medium
14.528591,7.4903574,computer_science,medium
14.3545885,7.556004,computer_science,medium
13.953,8.035912,computer_science,medium
14.387941,7.539752,computer_science,medium
14.317121,7.744062,computer_science,medium
13.250815,11.084678,computer_science,medium
12.882554,12.247756,computer_science,medium
12.886234,12.283832,computer_science,medium
13.357394,11.375184,computer_science,medium
13.444788,11.408274,computer_science,medium
12.809099,12.317625,computer_science,medium
12.980255,12.272419,computer_science,medium
13.230142,11.427088,computer_science,medium
12.910424,12.289752,computer_science,medium
12.569091,11.669925,computer_science,medium
12.522987,10.7095,computer_science,medium
13.377837,11.16593,computer_science,medium
13.603549,11.417608,computer_science,medium
13.40736,11.207689,computer_science,medium
13.252985,11.108618,computer_science,medium
13.196649,10.905109,computer_science,medium
13.297502,11.149755,computer_science,medium
12.73521,10.937589,computer_science,medium
13.399137,11.19823,computer_science,medium
13.263481,11.238404,computer_science,medium
11.962591,9.044236,computer_science,medium
12.5893345,8.981386,computer_science,medium
12.47558,8.752492,computer_science,medium
12.512958,8.685658,computer_science,medium
12.307945,9.005846,computer_science,medium
12.028095,9.153239,computer_science,medium
12.067166,9.209248,computer_science,medium
12.205491,8.845898,computer_science,medium
12.694871,8.798412,computer_science,medium
12.7081585,8.988846,computer_science,medium
13.347738,5.4179754,computer_science,easy
13.650704,7.5203843,computer_science,easy
12.254088,8.628837,computer_science,easy
14.46155,6.940586,computer_science,easy
14.295588,8.041656,computer_science,easy
14.171049,7.435477,computer_science,easy
13.924074,7.6106987,computer_science,easy
14.212024,7.474169,computer_science,easy
13.794207,7.3953686,computer_science,easy
13.942701,7.187733,computer_science,easy
13.643996,7.4081483,computer_science,easy
14.553029,7.4456716,computer_science,easy
13.904561,7.725861,computer_science,easy
14.078145,7.2053037,computer_science,easy
13.575275,7.449115,computer_science,easy
13.883208,7.3953853,computer_science,easy
12.64279,8.935279,computer_science,easy
13.995169,7.390378,computer_science,easy
13.931215,7.250423,computer_science,easy
13.780466,7.3164744,computer_science,easy
14.565283,8.084954,computer_science,easy
14.450416,8.701482,computer_science,easy
14.463393,8.756318,computer_science,easy
14.552736,8.756561,computer_science,easy
14.373258,8.667465,computer_science,easy
14.227668,8.69509,computer_science,easy
14.476327,8.619239,computer_science,easy
14.304205,8.682562,computer_science,easy
13.797419,8.343477,computer_science,easy
12.567235,8.562569,computer_science,easy
12.115367,9.027867,computer_science,easy
11.898288,9.072307,computer_science,easy
12.644151,9.086951,computer_science,easy
13.678742,5.39168,computer_science,easy
12.041837,9.0207,computer_science,easy
11.777728,8.9305105,computer_science,easy
12.029883,8.678504,computer_science,easy
12.396139,8.616705,computer_science,easy
12.050696,8.557752,computer_science,easy
11.8401375,8.705759,computer_science,easy
13.684354,11.644306,computer_science,medium
13.734805,11.652021,computer_science,medium
13.748533,11.555876,computer_science,medium
13.643635,11.575299,computer_science,medium
13.713146,11.631641,computer_science,medium
12.233535,12.21644,computer_science,medium
13.592272,11.657617,computer_science,medium
12.990505,11.844271,computer_science,medium
13.69437,11.554813,computer_science,medium
13.626357,11.557886,computer_science,medium
14.113846,13.302691,computer_science,medium
14.306416,13.330005,computer_science,medium
14.066786,13.239504,computer_science,medium
14.127152,12.761256,computer_science,medium
14.628417,13.358559,computer_science,medium
14.202288,13.28572,computer_science,medium
14.175743,13.257106,computer_science,medium
14.22863,13.130132,computer_science,medium
14.046836,13.275585,computer_science,medium
14.469816,13.362956,computer_science,medium
14.417232,9.655664,computer_science,medium
14.405779,9.585218,computer_science,medium
14.383164,9.655489,computer_science,medium
14.424589,9.604247,computer_science,medium
14.418038,9.56127,computer_science,medium
14.410457,9.571315,computer_science,medium
14.434628,9.621289,computer_science,medium
14.422857,9.73128,computer_science,medium
14.378625,9.539601,computer_science,medium
14.438984,9.596139,computer_science,medium
13.045079,-0.51227546,healthcare,easy
13.061257,-0.49290094,healthcare,easy
13.051525,-0.51189846,healthcare,easy
13.040958,-0.5230242,healthcare,easy
13.065837,-0.51303405,healthcare,easy
13.048098,-0.51732916,healthcare,easy
13.056125,-0.49810052,healthcare,easy
13.046382,-0.51556337,healthcare,easy
13.067518,-0.5221209,healthcare,easy
13.074359,-0.56820184,healthcare,easy
12.29203,-0.9506891,healthcare,easy
12.226122,-0.92818046,healthcare,easy
12.484974,-0.8099661,healthcare,easy
12.272005,-0.85388243,healthcare,easy
12.267756,-0.9245068,healthcare,easy
12.3287,-0.83894086,healthcare,easy
12.308882,-0.8595378,healthcare,easy
12.3065,-0.8179557,healthcare,easy
12.312731,-0.8703401,healthcare,easy
12.332656,-0.8605603,healthcare,easy
10.684896,-4.225362,healthcare,easy
10.847327,-4.166788,healthcare,easy
10.706634,-4.1545477,healthcare,easy
10.863655,-4.129999,healthcare,easy
10.861016,-4.163414,healthcare,easy
10.858414,-4.0924773,healthcare,easy
10.962338,-4.0723476,healthcare,easy
10.77075,-4.228598,healthcare,easy
10.75379,-4.2139864,healthcare,easy
10.763558,-4.206409,healthcare,easy
10.953482,-4.162771,healthcare,easy
10.917153,-4.1710005,healthcare,easy
10.956185,-4.1611204,healthcare,easy
10.920412,-4.2116218,healthcare,easy
10.930262,-4.219448,healthcare,easy
10.9280205,-4.142481,healthcare,easy
10.965289,-4.150851,healthcare,easy
10.9042,-4.2609987,healthcare,easy
10.927981,-4.184679,healthcare,easy
10.907939,-4.201808,healthcare,easy
10.245415,-3.1085205,healthcare,easy
10.320047,-3.0640454,healthcare,easy
10.2834,-3.0123556,healthcare,easy
10.266011,-3.0409372,healthcare,easy
10.264952,-3.1240816,healthcare,easy
10.33774,-3.0181687,healthcare,easy
10.3345375,-3.115042,healthcare,easy
10.350808,-3.1520338,healthcare,easy
10.217941,-3.017402,healthcare,easy
10.266665,-3.0748985,healthcare,easy
10.275099,-3.0878558,healthcare,easy
10.231338,-3.0495667,healthcare,easy
10.267017,-3.1221492,healthcare,easy
10.25796,-3.1146886,healthcare,easy
10.237986,-3.0813017,healthcare,easy
10.22777,-3.0918636,healthcare,easy
10.323052,-3.16009,healthcare,easy
10.297208,-3.079703,healthcare,easy
10.19136,-3.0456927,healthcare,easy
10.270914,-3.115043,healthcare,easy
10.291306,-3.0670726,healthcare,easy
10.369174,-3.1981456,healthcare,easy
10.2884035,-3.0681968,healthcare,easy
10.278019,-3.0672858,healthcare,easy
10.385117,-2.972033,healthcare,easy
10.3055725,-3.0875409,healthcare,easy
10.305478,-3.0698068,healthcare,easy
10.334535,-3.1312323,healthcare,easy
10.387723,-3.0913785,healthcare,easy
10.407517,-2.999408,healthcare,easy
13.482436,-1.3850468,healthcare,medium
13.700264,-1.5781926,healthcare,medium
13.616981,-1.3320755,healthcare,medium
13.64931,-1.3740435,healthcare,medium
13.579021,-1.6160283,healthcare,medium
13.705891,-1.5978233,healthcare,medium
13.631552,-1.5568273,healthcare,medium
13.750208,-1.5587846,healthcare,medium
13.575415,-1.313372,healthcare,medium
13.709824,-1.5287445,healthcare,medium
13.072747,-1.8768337,healthcare,medium
13.3345175,-1.9495504,healthcare,medium
13.591207,-1.8714038,healthcare,medium
13.052269,-1.8706841,healthcare,medium
13.175899,-1.974826,healthcare,medium
13.361641,-1.9805177,healthcare,medium
13.075106,-1.8718129,healthcare,medium
13.007791,-1.9199901,healthcare,medium
13.001436,-1.8560823,healthcare,medium
13.5023155,-1.9298671,healthcare,medium
13.260054,-2.0170481,healthcare,medium
13.133222,-1.9771768,healthcare,medium
13.259501,-1.9286582,healthcare,medium
12.9019575,-2.4996476,healthcare,medium
13.034807,-1.9730206,healthcare,medium
13.083697,-2.2519739,healthcare,medium
13.241217,-1.879335,healthcare,medium
13.101757,-2.1056557,healthcare,medium
13.215631,-2.1047597,healthcare,medium
13.518423,-1.8979493,healthcare,medium
13.161133,-2.1378765,healthcare,medium
12.819026,-2.4500782,healthcare,medium
12.920856,-2.4259217,healthcare,medium
12.826707,-2.5261269,healthcare,medium
12.944618,-2.1632807,healthcare,medium
12.761277,-2.5370693,healthcare,medium
12.792332,-2.5678248,healthcare,medium
12.972518,-2.0866666,healthcare,medium
12.940641,-2.2578819,healthcare,medium
12.745733,-2.4628077,healthcare,medium
12.7891245,-2.4788606,healthcare,medium
12.773037,-2.5059888,healthcare,medium
12.696637,-2.493889,healthcare,medium
12.801851,-2.4327185,healthcare,medium
12.84637,-2.6482024,healthcare,medium
12.90382,-2.092443,healthcare,medium
12.854681,-2.508007,healthcare,medium
12.892421,-2.9830928,healthcare,medium
12.866105,-2.5229425,healthcare,medium
12.845374,-2.5725584,healthcare,medium
12.77156,-2.4073184,healthcare,medium
12.90846,-2.069105,healthcare,medium
12.606622,-1.9502294,healthcare,medium
12.743231,-2.5318267,healthcare,medium
12.782606,-2.6254663,healthcare,medium
12.990999,-1.9509262,healthcare,medium
12.750311,-2.3021197,healthcare,medium
12.954517,-2.375446,healthcare,medium
13.037406,-1.9921205,healthcare,medium
12.848953,-2.3813481,healthcare,medium
8.417126,-3.9218683,healthcare,medium
8.411827,-3.9361618,healthcare,medium
8.392446,-3.9466815,healthcare,medium
